"Step","SimpleX-26-0.7-1.0-84-61-59-0.001 - valid/recall@10","SimpleX-26-0.7-1.0-84-61-59-0.001 - valid/recall@10__MIN","SimpleX-26-0.7-1.0-84-61-59-0.001 - valid/recall@10__MAX","SimpleX-26-0.7-0.2-84-61-59-0.001 - valid/recall@10","SimpleX-26-0.7-0.2-84-61-59-0.001 - valid/recall@10__MIN","SimpleX-26-0.7-0.2-84-61-59-0.001 - valid/recall@10__MAX","SimpleX-44-0.0-1.0-50-52-20-0.001 - valid/recall@10","SimpleX-44-0.0-1.0-50-52-20-0.001 - valid/recall@10__MIN","SimpleX-44-0.0-1.0-50-52-20-0.001 - valid/recall@10__MAX","SimpleX-44-0.0-0.3-50-52-20-0.001 - valid/recall@10","SimpleX-44-0.0-0.3-50-52-20-0.001 - valid/recall@10__MIN","SimpleX-44-0.0-0.3-50-52-20-0.001 - valid/recall@10__MAX","SimpleX-40-0.5-1.0-65-51-10-0.001 - valid/recall@10","SimpleX-40-0.5-1.0-65-51-10-0.001 - valid/recall@10__MIN","SimpleX-40-0.5-1.0-65-51-10-0.001 - valid/recall@10__MAX","SimpleX-40-0.5-0.3-65-51-10-0.001 - valid/recall@10","SimpleX-40-0.5-0.3-65-51-10-0.001 - valid/recall@10__MIN","SimpleX-40-0.5-0.3-65-51-10-0.001 - valid/recall@10__MAX","SimpleX-27-0.7-1.0-31-48-32-0.001 - valid/recall@10","SimpleX-27-0.7-1.0-31-48-32-0.001 - valid/recall@10__MIN","SimpleX-27-0.7-1.0-31-48-32-0.001 - valid/recall@10__MAX","SimpleX-27-0.7-0.2-31-48-32-0.001 - valid/recall@10","SimpleX-27-0.7-0.2-31-48-32-0.001 - valid/recall@10__MIN","SimpleX-27-0.7-0.2-31-48-32-0.001 - valid/recall@10__MAX","SimpleX-27-0.2-1.0-76-89-25-0.001 - valid/recall@10","SimpleX-27-0.2-1.0-76-89-25-0.001 - valid/recall@10__MIN","SimpleX-27-0.2-1.0-76-89-25-0.001 - valid/recall@10__MAX","SimpleX-27-0.2-0.2-76-89-25-0.001 - valid/recall@10","SimpleX-27-0.2-0.2-76-89-25-0.001 - valid/recall@10__MIN","SimpleX-27-0.2-0.2-76-89-25-0.001 - valid/recall@10__MAX","SimpleX-32-0.6-1.0-67-63-97-0.001 - valid/recall@10","SimpleX-32-0.6-1.0-67-63-97-0.001 - valid/recall@10__MIN","SimpleX-32-0.6-1.0-67-63-97-0.001 - valid/recall@10__MAX","SimpleX-32-0.6-0.3-67-63-97-0.001 - valid/recall@10","SimpleX-32-0.6-0.3-67-63-97-0.001 - valid/recall@10__MIN","SimpleX-32-0.6-0.3-67-63-97-0.001 - valid/recall@10__MAX","SimpleX-19-0.1-1.0-66-22-34-0.001 - valid/recall@10","SimpleX-19-0.1-1.0-66-22-34-0.001 - valid/recall@10__MIN","SimpleX-19-0.1-1.0-66-22-34-0.001 - valid/recall@10__MAX","SimpleX-19-0.1-0.2-66-22-34-0.001 - valid/recall@10","SimpleX-19-0.1-0.2-66-22-34-0.001 - valid/recall@10__MIN","SimpleX-19-0.1-0.2-66-22-34-0.001 - valid/recall@10__MAX","SimpleX-15-0.2-1.0-82-59-86-0.001 - valid/recall@10","SimpleX-15-0.2-1.0-82-59-86-0.001 - valid/recall@10__MIN","SimpleX-15-0.2-1.0-82-59-86-0.001 - valid/recall@10__MAX","SimpleX-15-0.2-0.5-82-59-86-0.001 - valid/recall@10","SimpleX-15-0.2-0.5-82-59-86-0.001 - valid/recall@10__MIN","SimpleX-15-0.2-0.5-82-59-86-0.001 - valid/recall@10__MAX","SimpleX-12-0.7-1.0-87-48-78-0.001 - valid/recall@10","SimpleX-12-0.7-1.0-87-48-78-0.001 - valid/recall@10__MIN","SimpleX-12-0.7-1.0-87-48-78-0.001 - valid/recall@10__MAX","SimpleX-12-0.7-0.1-87-48-78-0.001 - valid/recall@10","SimpleX-12-0.7-0.1-87-48-78-0.001 - valid/recall@10__MIN","SimpleX-12-0.7-0.1-87-48-78-0.001 - valid/recall@10__MAX","SimpleX-42-0.2-1.0-62-38-14-0.001 - valid/recall@10","SimpleX-42-0.2-1.0-62-38-14-0.001 - valid/recall@10__MIN","SimpleX-42-0.2-1.0-62-38-14-0.001 - valid/recall@10__MAX","SimpleX-42-0.2-0.3-62-38-14-0.001 - valid/recall@10","SimpleX-42-0.2-0.3-62-38-14-0.001 - valid/recall@10__MIN","SimpleX-42-0.2-0.3-62-38-14-0.001 - valid/recall@10__MAX","SimpleX-37-0.7-1.0-93-18-51-0.001 - valid/recall@10","SimpleX-37-0.7-1.0-93-18-51-0.001 - valid/recall@10__MIN","SimpleX-37-0.7-1.0-93-18-51-0.001 - valid/recall@10__MAX","SimpleX-37-0.7-0.9-93-18-51-0.001 - valid/recall@10","SimpleX-37-0.7-0.9-93-18-51-0.001 - valid/recall@10__MIN","SimpleX-37-0.7-0.9-93-18-51-0.001 - valid/recall@10__MAX","SimpleX-44-0.5-1.0-50-40-67-0.001 - valid/recall@10","SimpleX-44-0.5-1.0-50-40-67-0.001 - valid/recall@10__MIN","SimpleX-44-0.5-1.0-50-40-67-0.001 - valid/recall@10__MAX","SimpleX-44-0.5-0.8-50-40-67-0.001 - valid/recall@10","SimpleX-44-0.5-0.8-50-40-67-0.001 - valid/recall@10__MIN","SimpleX-44-0.5-0.8-50-40-67-0.001 - valid/recall@10__MAX","SimpleX-47-0.0-1.0-27-40-48-0.001 - valid/recall@10","SimpleX-47-0.0-1.0-27-40-48-0.001 - valid/recall@10__MIN","SimpleX-47-0.0-1.0-27-40-48-0.001 - valid/recall@10__MAX","SimpleX-47-0.0-0.3-27-40-48-0.001 - valid/recall@10","SimpleX-47-0.0-0.3-27-40-48-0.001 - valid/recall@10__MIN","SimpleX-47-0.0-0.3-27-40-48-0.001 - valid/recall@10__MAX","SimpleX-59-0.3-1.0-88-66-15-0.001 - valid/recall@10","SimpleX-59-0.3-1.0-88-66-15-0.001 - valid/recall@10__MIN","SimpleX-59-0.3-1.0-88-66-15-0.001 - valid/recall@10__MAX","SimpleX-59-0.3-0.6-88-66-15-0.001 - valid/recall@10","SimpleX-59-0.3-0.6-88-66-15-0.001 - valid/recall@10__MIN","SimpleX-59-0.3-0.6-88-66-15-0.001 - valid/recall@10__MAX","SimpleX-53-0.4-1.0-56-94-68-0.001 - valid/recall@10","SimpleX-53-0.4-1.0-56-94-68-0.001 - valid/recall@10__MIN","SimpleX-53-0.4-1.0-56-94-68-0.001 - valid/recall@10__MAX","SimpleX-53-0.4-0.2-56-94-68-0.001 - valid/recall@10","SimpleX-53-0.4-0.2-56-94-68-0.001 - valid/recall@10__MIN","SimpleX-53-0.4-0.2-56-94-68-0.001 - valid/recall@10__MAX","SimpleX-36-0.4-1.0-43-96-32-0.001 - valid/recall@10","SimpleX-36-0.4-1.0-43-96-32-0.001 - valid/recall@10__MIN","SimpleX-36-0.4-1.0-43-96-32-0.001 - valid/recall@10__MAX","SimpleX-36-0.4-0.7-43-96-32-0.001 - valid/recall@10","SimpleX-36-0.4-0.7-43-96-32-0.001 - valid/recall@10__MIN","SimpleX-36-0.4-0.7-43-96-32-0.001 - valid/recall@10__MAX","SimpleX-12-0.6-1.0-87-27-58-0.001 - valid/recall@10","SimpleX-12-0.6-1.0-87-27-58-0.001 - valid/recall@10__MIN","SimpleX-12-0.6-1.0-87-27-58-0.001 - valid/recall@10__MAX","SimpleX-12-0.6-0.5-87-27-58-0.001 - valid/recall@10","SimpleX-12-0.6-0.5-87-27-58-0.001 - valid/recall@10__MIN","SimpleX-12-0.6-0.5-87-27-58-0.001 - valid/recall@10__MAX","SimpleX-43-0.7-1.0-19-51-56-0.001 - valid/recall@10","SimpleX-43-0.7-1.0-19-51-56-0.001 - valid/recall@10__MIN","SimpleX-43-0.7-1.0-19-51-56-0.001 - valid/recall@10__MAX","SimpleX-43-0.7-0.3-19-51-56-0.001 - valid/recall@10","SimpleX-43-0.7-0.3-19-51-56-0.001 - valid/recall@10__MIN","SimpleX-43-0.7-0.3-19-51-56-0.001 - valid/recall@10__MAX","SimpleX-23-0.7-1.0-45-72-14-0.001 - valid/recall@10","SimpleX-23-0.7-1.0-45-72-14-0.001 - valid/recall@10__MIN","SimpleX-23-0.7-1.0-45-72-14-0.001 - valid/recall@10__MAX","SimpleX-23-0.7-0.2-45-72-14-0.001 - valid/recall@10","SimpleX-23-0.7-0.2-45-72-14-0.001 - valid/recall@10__MIN","SimpleX-23-0.7-0.2-45-72-14-0.001 - valid/recall@10__MAX"
"1","0.0709","0.0709","0.0709","0.0932","0.0932","0.0932","0.0545","0.0545","0.0545","0.051","0.051","0.051","0.0741","0.0741","0.0741","0.0945","0.0945","0.0945","0.0463","0.0463","0.0463","0.0826","0.0826","0.0826","0.0485","0.0485","0.0485","0.0338","0.0338","0.0338","0.0686","0.0686","0.0686","0.1043","0.1043","0.1043","0.0969","0.0969","0.0969","0.0987","0.0987","0.0987","0.0556","0.0556","0.0556","0.0291","0.0291","0.0291","0.0411","0.0411","0.0411","0.0672","0.0672","0.0672","0.0701","0.0701","0.0701","0.084","0.084","0.084","0.1139","0.1139","0.1139","0.1194","0.1194","0.1194","0.0823","0.0823","0.0823","0.0641","0.0641","0.0641","0.0407","0.0407","0.0407","0.0534","0.0534","0.0534","0.0749","0.0749","0.0749","0.1012","0.1012","0.1012","0.0601","0.0601","0.0601","0.069","0.069","0.069","0.0352","0.0352","0.0352","0.0659","0.0659","0.0659","0.0611","0.0611","0.0611","0.047","0.047","0.047","0.0388","0.0388","0.0388","0.0657","0.0657","0.0657","0.0431","0.0431","0.0431","0.0803","0.0803","0.0803"
"3","0.0973","0.0973","0.0973","0.0939","0.0939","0.0939","0.097","0.097","0.097","0.0622","0.0622","0.0622","0.105","0.105","0.105","0.1041","0.1041","0.1041","0.0904","0.0904","0.0904","0.1034","0.1034","0.1034","0.0747","0.0747","0.0747","0.0573","0.0573","0.0573","0.0985","0.0985","0.0985","0.0913","0.0913","0.0913","0.1389","0.1389","0.1389","0.1142","0.1142","0.1142","0.0825","0.0825","0.0825","0.0357","0.0357","0.0357","0.0754","0.0754","0.0754","0.0892","0.0892","0.0892","0.1191","0.1191","0.1191","0.109","0.109","0.109","0.1484","0.1484","0.1484","0.1517","0.1517","0.1517","0.111","0.111","0.111","0.0969","0.0969","0.0969","0.0742","0.0742","0.0742","0.0727","0.0727","0.0727","0.0932","0.0932","0.0932","0.096","0.096","0.096","0.0808","0.0808","0.0808","0.1018","0.1018","0.1018","0.0639","0.0639","0.0639","0.071","0.071","0.071","0.1008","0.1008","0.1008","0.0973","0.0973","0.0973","0.0878","0.0878","0.0878","0.0986","0.0986","0.0986","0.0704","0.0704","0.0704","0.0719","0.0719","0.0719"
"5","0.1154","0.1154","0.1154","0.1017","0.1017","0.1017","0.1135","0.1135","0.1135","0.0855","0.0855","0.0855","0.1164","0.1164","0.1164","0.1176","0.1176","0.1176","0.0999","0.0999","0.0999","0.1052","0.1052","0.1052","0.0882","0.0882","0.0882","0.0718","0.0718","0.0718","0.1068","0.1068","0.1068","0.1015","0.1015","0.1015","0.1468","0.1468","0.1468","0.1205","0.1205","0.1205","0.0992","0.0992","0.0992","0.0557","0.0557","0.0557","0.094","0.094","0.094","0.0841","0.0841","0.0841","0.1259","0.1259","0.1259","0.1126","0.1126","0.1126","0.148","0.148","0.148","0.1652","0.1652","0.1652","0.1304","0.1304","0.1304","0.1241","0.1241","0.1241","0.1079","0.1079","0.1079","0.0863","0.0863","0.0863","0.105","0.105","0.105","0.1187","0.1187","0.1187","0.0874","0.0874","0.0874","0.0995","0.0995","0.0995","0.0772","0.0772","0.0772","0.088","0.088","0.088","0.1258","0.1258","0.1258","0.1092","0.1092","0.1092","0.0993","0.0993","0.0993","0.1237","0.1237","0.1237","0.0865","0.0865","0.0865","0.0913","0.0913","0.0913"
"7","0.1229","0.1229","0.1229","0.1177","0.1177","0.1177","0.1229","0.1229","0.1229","0.0948","0.0948","0.0948","0.1186","0.1186","0.1186","0.1151","0.1151","0.1151","0.1153","0.1153","0.1153","0.1261","0.1261","0.1261","0.0991","0.0991","0.0991","0.0607","0.0607","0.0607","0.1171","0.1171","0.1171","0.1003","0.1003","0.1003","0.1518","0.1518","0.1518","0.1307","0.1307","0.1307","0.1121","0.1121","0.1121","0.0717","0.0717","0.0717","0.1129","0.1129","0.1129","0.0728","0.0728","0.0728","0.1363","0.1363","0.1363","0.1218","0.1218","0.1218","0.1536","0.1536","0.1536","0.1633","0.1633","0.1633","0.1246","0.1246","0.1246","0.1287","0.1287","0.1287","0.1221","0.1221","0.1221","0.108","0.108","0.108","0.1053","0.1053","0.1053","0.1113","0.1113","0.1113","0.0915","0.0915","0.0915","0.096","0.096","0.096","0.0903","0.0903","0.0903","0.0864","0.0864","0.0864","0.136","0.136","0.136","0.12","0.12","0.12","0.1141","0.1141","0.1141","0.1287","0.1287","0.1287","0.1038","0.1038","0.1038","0.0978","0.0978","0.0978"
"9","0.1281","0.1281","0.1281","0.1262","0.1262","0.1262","0.126","0.126","0.126","0.0964","0.0964","0.0964","0.1254","0.1254","0.1254","0.1355","0.1355","0.1355","0.1247","0.1247","0.1247","0.129","0.129","0.129","0.0997","0.0997","0.0997","0.0885","0.0885","0.0885","0.124","0.124","0.124","0.1221","0.1221","0.1221","0.1559","0.1559","0.1559","0.1355","0.1355","0.1355","0.1114","0.1114","0.1114","0.0741","0.0741","0.0741","0.1181","0.1181","0.1181","0.0624","0.0624","0.0624","0.1415","0.1415","0.1415","0.1382","0.1382","0.1382","0.1588","0.1588","0.1588","0.1663","0.1663","0.1663","0.1275","0.1275","0.1275","0.13","0.13","0.13","0.1259","0.1259","0.1259","0.105","0.105","0.105","0.1127","0.1127","0.1127","0.1212","0.1212","0.1212","0.0927","0.0927","0.0927","0.1176","0.1176","0.1176","0.0962","0.0962","0.0962","0.0956","0.0956","0.0956","0.1421","0.1421","0.1421","0.1179","0.1179","0.1179","0.1184","0.1184","0.1184","0.1247","0.1247","0.1247","0.1125","0.1125","0.1125","0.0998","0.0998","0.0998"
"11","0.1299","0.1299","0.1299","0.1264","0.1264","0.1264","0.129","0.129","0.129","0.1147","0.1147","0.1147","0.1235","0.1235","0.1235","0.1347","0.1347","0.1347","0.1232","0.1232","0.1232","0.1356","0.1356","0.1356","0.1026","0.1026","0.1026","0.0778","0.0778","0.0778","0.1276","0.1276","0.1276","0.1246","0.1246","0.1246","0.1628","0.1628","0.1628","0.1389","0.1389","0.1389","0.1186","0.1186","0.1186","0.0911","0.0911","0.0911","0.1287","0.1287","0.1287","0.06","0.06","0.06","0.1379","0.1379","0.1379","0.131","0.131","0.131","0.1664","0.1664","0.1664","0.1714","0.1714","0.1714","0.1362","0.1362","0.1362","0.1382","0.1382","0.1382","0.137","0.137","0.137","0.1257","0.1257","0.1257","0.1112","0.1112","0.1112","0.1153","0.1153","0.1153","0.0976","0.0976","0.0976","0.1013","0.1013","0.1013","0.1031","0.1031","0.1031","0.0964","0.0964","0.0964","0.1503","0.1503","0.1503","0.1246","0.1246","0.1246","0.122","0.122","0.122","0.1236","0.1236","0.1236","0.1168","0.1168","0.1168","0.1058","0.1058","0.1058"
"13","0.1342","0.1342","0.1342","0.1209","0.1209","0.1209","0.1316","0.1316","0.1316","0.1168","0.1168","0.1168","0.1281","0.1281","0.1281","0.1289","0.1289","0.1289","0.1297","0.1297","0.1297","0.1304","0.1304","0.1304","0.1049","0.1049","0.1049","0.0682","0.0682","0.0682","0.1267","0.1267","0.1267","0.1218","0.1218","0.1218","0.1604","0.1604","0.1604","0.1484","0.1484","0.1484","0.1168","0.1168","0.1168","0.0836","0.0836","0.0836","0.1258","0.1258","0.1258","","","","0.1413","0.1413","0.1413","0.1346","0.1346","0.1346","0.1606","0.1606","0.1606","0.1665","0.1665","0.1665","0.1357","0.1357","0.1357","0.1438","0.1438","0.1438","0.1365","0.1365","0.1365","0.1313","0.1313","0.1313","0.1143","0.1143","0.1143","0.1255","0.1255","0.1255","0.097","0.097","0.097","0.1105","0.1105","0.1105","0.1006","0.1006","0.1006","0.0886","0.0886","0.0886","0.1461","0.1461","0.1461","0.1166","0.1166","0.1166","0.1281","0.1281","0.1281","0.1388","0.1388","0.1388","0.1198","0.1198","0.1198","0.1152","0.1152","0.1152"
"15","0.1383","0.1383","0.1383","0.1185","0.1185","0.1185","0.1334","0.1334","0.1334","0.1291","0.1291","0.1291","0.1242","0.1242","0.1242","0.1297","0.1297","0.1297","0.1293","0.1293","0.1293","0.1376","0.1376","0.1376","0.1031","0.1031","0.1031","0.0896","0.0896","0.0896","0.1268","0.1268","0.1268","0.1214","0.1214","0.1214","0.1638","0.1638","0.1638","0.1484","0.1484","0.1484","0.1191","0.1191","0.1191","0.0986","0.0986","0.0986","0.1312","0.1312","0.1312","","","","0.1418","0.1418","0.1418","0.1422","0.1422","0.1422","0.1611","0.1611","0.1611","0.1665","0.1665","0.1665","0.1403","0.1403","0.1403","0.1465","0.1465","0.1465","0.1376","0.1376","0.1376","0.1296","0.1296","0.1296","0.1115","0.1115","0.1115","0.116","0.116","0.116","0.0936","0.0936","0.0936","0.0994","0.0994","0.0994","0.1022","0.1022","0.1022","0.1022","0.1022","0.1022","0.1494","0.1494","0.1494","0.1291","0.1291","0.1291","0.1227","0.1227","0.1227","0.1354","0.1354","0.1354","0.121","0.121","0.121","0.1175","0.1175","0.1175"
"17","0.1398","0.1398","0.1398","0.1177","0.1177","0.1177","0.135","0.135","0.135","0.1182","0.1182","0.1182","0.1241","0.1241","0.1241","0.1365","0.1365","0.1365","0.1323","0.1323","0.1323","0.1404","0.1404","0.1404","0.1088","0.1088","0.1088","0.0774","0.0774","0.0774","0.127","0.127","0.127","0.1232","0.1232","0.1232","0.1611","0.1611","0.1611","0.1475","0.1475","0.1475","0.1244","0.1244","0.1244","0.1012","0.1012","0.1012","0.1357","0.1357","0.1357","","","","0.1423","0.1423","0.1423","0.1436","0.1436","0.1436","0.158","0.158","0.158","0.1612","0.1612","0.1612","0.1363","0.1363","0.1363","0.1412","0.1412","0.1412","0.1298","0.1298","0.1298","0.1301","0.1301","0.1301","0.1134","0.1134","0.1134","0.1245","0.1245","0.1245","0.1044","0.1044","0.1044","0.106","0.106","0.106","0.108","0.108","0.108","0.1062","0.1062","0.1062","0.1527","0.1527","0.1527","0.1224","0.1224","0.1224","0.1267","0.1267","0.1267","0.1405","0.1405","0.1405","0.1296","0.1296","0.1296","0.1325","0.1325","0.1325"
"19","0.1304","0.1304","0.1304","","","","0.1295","0.1295","0.1295","0.1222","0.1222","0.1222","0.1242","0.1242","0.1242","0.1348","0.1348","0.1348","0.1369","0.1369","0.1369","0.1428","0.1428","0.1428","0.104","0.104","0.104","0.079","0.079","0.079","0.1282","0.1282","0.1282","0.1277","0.1277","0.1277","0.16","0.16","0.16","0.1469","0.1469","0.1469","0.1161","0.1161","0.1161","0.1002","0.1002","0.1002","0.1393","0.1393","0.1393","","","","0.1485","0.1485","0.1485","0.144","0.144","0.144","0.1638","0.1638","0.1638","0.1684","0.1684","0.1684","0.1315","0.1315","0.1315","0.1407","0.1407","0.1407","0.142","0.142","0.142","0.1386","0.1386","0.1386","0.1166","0.1166","0.1166","0.1159","0.1159","0.1159","0.1012","0.1012","0.1012","","","","0.1067","0.1067","0.1067","0.1066","0.1066","0.1066","0.1551","0.1551","0.1551","0.1259","0.1259","0.1259","0.1288","0.1288","0.1288","0.1366","0.1366","0.1366","0.124","0.124","0.124","0.1261","0.1261","0.1261"