"Step","SimpleX-37-0.3-0.0-1-1-52-0.001 - valid/recall@10","SimpleX-37-0.3-0.0-1-1-52-0.001 - valid/recall@10__MIN","SimpleX-37-0.3-0.0-1-1-52-0.001 - valid/recall@10__MAX","SimpleX-37-0.3-0.0-71-71-52-0.001 - valid/recall@10","SimpleX-37-0.3-0.0-71-71-52-0.001 - valid/recall@10__MIN","SimpleX-37-0.3-0.0-71-71-52-0.001 - valid/recall@10__MAX","SimpleX-59-0.2-0.5-1-1-51-0.001 - valid/recall@10","SimpleX-59-0.2-0.5-1-1-51-0.001 - valid/recall@10__MIN","SimpleX-59-0.2-0.5-1-1-51-0.001 - valid/recall@10__MAX","SimpleX-59-0.2-0.5-100-100-51-0.001 - valid/recall@10","SimpleX-59-0.2-0.5-100-100-51-0.001 - valid/recall@10__MIN","SimpleX-59-0.2-0.5-100-100-51-0.001 - valid/recall@10__MAX","SimpleX-39-0.4-1.0-1-1-32-0.001 - valid/recall@10","SimpleX-39-0.4-1.0-1-1-32-0.001 - valid/recall@10__MIN","SimpleX-39-0.4-1.0-1-1-32-0.001 - valid/recall@10__MAX","SimpleX-39-0.4-1.0-86-86-32-0.001 - valid/recall@10","SimpleX-39-0.4-1.0-86-86-32-0.001 - valid/recall@10__MIN","SimpleX-39-0.4-1.0-86-86-32-0.001 - valid/recall@10__MAX","SimpleX-19-0.9-0.1-1-1-44-0.001 - valid/recall@10","SimpleX-19-0.9-0.1-1-1-44-0.001 - valid/recall@10__MIN","SimpleX-19-0.9-0.1-1-1-44-0.001 - valid/recall@10__MAX","SimpleX-19-0.9-0.1-24-24-44-0.001 - valid/recall@10","SimpleX-19-0.9-0.1-24-24-44-0.001 - valid/recall@10__MIN","SimpleX-19-0.9-0.1-24-24-44-0.001 - valid/recall@10__MAX","SimpleX-37-0.6-1.0-1-1-45-0.001 - valid/recall@10","SimpleX-37-0.6-1.0-1-1-45-0.001 - valid/recall@10__MIN","SimpleX-37-0.6-1.0-1-1-45-0.001 - valid/recall@10__MAX","SimpleX-37-0.6-1.0-33-33-45-0.001 - valid/recall@10","SimpleX-37-0.6-1.0-33-33-45-0.001 - valid/recall@10__MIN","SimpleX-37-0.6-1.0-33-33-45-0.001 - valid/recall@10__MAX","SimpleX-17-0.1-0.3-1-1-54-0.001 - valid/recall@10","SimpleX-17-0.1-0.3-1-1-54-0.001 - valid/recall@10__MIN","SimpleX-17-0.1-0.3-1-1-54-0.001 - valid/recall@10__MAX","SimpleX-17-0.1-0.3-23-23-54-0.001 - valid/recall@10","SimpleX-17-0.1-0.3-23-23-54-0.001 - valid/recall@10__MIN","SimpleX-17-0.1-0.3-23-23-54-0.001 - valid/recall@10__MAX","SimpleX-19-0.6-0.9-1-1-29-0.001 - valid/recall@10","SimpleX-19-0.6-0.9-1-1-29-0.001 - valid/recall@10__MIN","SimpleX-19-0.6-0.9-1-1-29-0.001 - valid/recall@10__MAX","SimpleX-19-0.6-0.9-49-49-29-0.001 - valid/recall@10","SimpleX-19-0.6-0.9-49-49-29-0.001 - valid/recall@10__MIN","SimpleX-19-0.6-0.9-49-49-29-0.001 - valid/recall@10__MAX","SimpleX-62-0.9-0.8-1-1-20-0.001 - valid/recall@10","SimpleX-62-0.9-0.8-1-1-20-0.001 - valid/recall@10__MIN","SimpleX-62-0.9-0.8-1-1-20-0.001 - valid/recall@10__MAX","SimpleX-62-0.9-0.8-11-11-20-0.001 - valid/recall@10","SimpleX-62-0.9-0.8-11-11-20-0.001 - valid/recall@10__MIN","SimpleX-62-0.9-0.8-11-11-20-0.001 - valid/recall@10__MAX","SimpleX-36-0.3-0.7-1-1-48-0.001 - valid/recall@10","SimpleX-36-0.3-0.7-1-1-48-0.001 - valid/recall@10__MIN","SimpleX-36-0.3-0.7-1-1-48-0.001 - valid/recall@10__MAX","SimpleX-36-0.3-0.7-6-6-48-0.001 - valid/recall@10","SimpleX-36-0.3-0.7-6-6-48-0.001 - valid/recall@10__MIN","SimpleX-36-0.3-0.7-6-6-48-0.001 - valid/recall@10__MAX","SimpleX-51-0.9-0.2-1-1-38-0.001 - valid/recall@10","SimpleX-51-0.9-0.2-1-1-38-0.001 - valid/recall@10__MIN","SimpleX-51-0.9-0.2-1-1-38-0.001 - valid/recall@10__MAX","SimpleX-51-0.9-0.2-66-66-38-0.001 - valid/recall@10","SimpleX-51-0.9-0.2-66-66-38-0.001 - valid/recall@10__MIN","SimpleX-51-0.9-0.2-66-66-38-0.001 - valid/recall@10__MAX","SimpleX-52-0.8-0.7-1-1-18-0.001 - valid/recall@10","SimpleX-52-0.8-0.7-1-1-18-0.001 - valid/recall@10__MIN","SimpleX-52-0.8-0.7-1-1-18-0.001 - valid/recall@10__MAX","SimpleX-52-0.8-0.7-57-57-18-0.001 - valid/recall@10","SimpleX-52-0.8-0.7-57-57-18-0.001 - valid/recall@10__MIN","SimpleX-52-0.8-0.7-57-57-18-0.001 - valid/recall@10__MAX","SimpleX-22-0.4-0.3-1-1-50-0.001 - valid/recall@10","SimpleX-22-0.4-0.3-1-1-50-0.001 - valid/recall@10__MIN","SimpleX-22-0.4-0.3-1-1-50-0.001 - valid/recall@10__MAX","SimpleX-22-0.4-0.3-48-48-50-0.001 - valid/recall@10","SimpleX-22-0.4-0.3-48-48-50-0.001 - valid/recall@10__MIN","SimpleX-22-0.4-0.3-48-48-50-0.001 - valid/recall@10__MAX","SimpleX-34-0.0-0.3-1-1-27-0.001 - valid/recall@10","SimpleX-34-0.0-0.3-1-1-27-0.001 - valid/recall@10__MIN","SimpleX-34-0.0-0.3-1-1-27-0.001 - valid/recall@10__MAX","SimpleX-34-0.0-0.3-2-2-27-0.001 - valid/recall@10","SimpleX-34-0.0-0.3-2-2-27-0.001 - valid/recall@10__MIN","SimpleX-34-0.0-0.3-2-2-27-0.001 - valid/recall@10__MAX","SimpleX-18-0.7-0.7-1-1-88-0.001 - valid/recall@10","SimpleX-18-0.7-0.7-1-1-88-0.001 - valid/recall@10__MIN","SimpleX-18-0.7-0.7-1-1-88-0.001 - valid/recall@10__MAX","SimpleX-18-0.7-0.7-32-32-88-0.001 - valid/recall@10","SimpleX-18-0.7-0.7-32-32-88-0.001 - valid/recall@10__MIN","SimpleX-18-0.7-0.7-32-32-88-0.001 - valid/recall@10__MAX","SimpleX-39-0.2-1.0-1-1-56-0.001 - valid/recall@10","SimpleX-39-0.2-1.0-1-1-56-0.001 - valid/recall@10__MIN","SimpleX-39-0.2-1.0-1-1-56-0.001 - valid/recall@10__MAX","SimpleX-39-0.2-1.0-40-40-56-0.001 - valid/recall@10","SimpleX-39-0.2-1.0-40-40-56-0.001 - valid/recall@10__MIN","SimpleX-39-0.2-1.0-40-40-56-0.001 - valid/recall@10__MAX","SimpleX-32-0.6-1.0-1-1-43-0.001 - valid/recall@10","SimpleX-32-0.6-1.0-1-1-43-0.001 - valid/recall@10__MIN","SimpleX-32-0.6-1.0-1-1-43-0.001 - valid/recall@10__MAX","SimpleX-32-0.6-1.0-38-38-43-0.001 - valid/recall@10","SimpleX-32-0.6-1.0-38-38-43-0.001 - valid/recall@10__MIN","SimpleX-32-0.6-1.0-38-38-43-0.001 - valid/recall@10__MAX","SimpleX-57-0.5-0.2-1-1-87-0.001 - valid/recall@10","SimpleX-57-0.5-0.2-1-1-87-0.001 - valid/recall@10__MIN","SimpleX-57-0.5-0.2-1-1-87-0.001 - valid/recall@10__MAX","SimpleX-57-0.5-0.2-55-55-87-0.001 - valid/recall@10","SimpleX-57-0.5-0.2-55-55-87-0.001 - valid/recall@10__MIN","SimpleX-57-0.5-0.2-55-55-87-0.001 - valid/recall@10__MAX","SimpleX-12-0.8-0.1-1-1-41-0.001 - valid/recall@10","SimpleX-12-0.8-0.1-1-1-41-0.001 - valid/recall@10__MIN","SimpleX-12-0.8-0.1-1-1-41-0.001 - valid/recall@10__MAX","SimpleX-12-0.8-0.1-43-43-41-0.001 - valid/recall@10","SimpleX-12-0.8-0.1-43-43-41-0.001 - valid/recall@10__MIN","SimpleX-12-0.8-0.1-43-43-41-0.001 - valid/recall@10__MAX","SimpleX-23-0.7-1.0-1-1-30-0.001 - valid/recall@10","SimpleX-23-0.7-1.0-1-1-30-0.001 - valid/recall@10__MIN","SimpleX-23-0.7-1.0-1-1-30-0.001 - valid/recall@10__MAX","SimpleX-23-0.7-1.0-37-37-30-0.001 - valid/recall@10","SimpleX-23-0.7-1.0-37-37-30-0.001 - valid/recall@10__MIN","SimpleX-23-0.7-1.0-37-37-30-0.001 - valid/recall@10__MAX","SimpleX-46-0.0-0.9-1-1-11-0.001 - valid/recall@10","SimpleX-46-0.0-0.9-1-1-11-0.001 - valid/recall@10__MIN","SimpleX-46-0.0-0.9-1-1-11-0.001 - valid/recall@10__MAX","SimpleX-46-0.0-0.9-63-63-11-0.001 - valid/recall@10","SimpleX-46-0.0-0.9-63-63-11-0.001 - valid/recall@10__MIN","SimpleX-46-0.0-0.9-63-63-11-0.001 - valid/recall@10__MAX"
"1","0.0456","0.0456","0.0456","0.0868","0.0868","0.0868","0.0091","0.0091","0.0091","0.0741","0.0741","0.0741","0.0071","0.0071","0.0071","0.0661","0.0661","0.0661","0.0353","0.0353","0.0353","0.1195","0.1195","0.1195","0.0073","0.0073","0.0073","0.0588","0.0588","0.0588","0.0171","0.0171","0.0171","0.0496","0.0496","0.0496","0.0068","0.0068","0.0068","0.0655","0.0655","0.0655","0.0062","0.0062","0.0062","0.0735","0.0735","0.0735","0.0064","0.0064","0.0064","0.0674","0.0674","0.0674","0.0267","0.0267","0.0267","0.0963","0.0963","0.0963","0.0073","0.0073","0.0073","0.0748","0.0748","0.0748","0.0104","0.0104","0.0104","0.0814","0.0814","0.0814","0.0317","0.0317","0.0317","0.0784","0.0784","0.0784","0.0053","0.0053","0.0053","0.0445","0.0445","0.0445","0.0072","0.0072","0.0072","0.0538","0.0538","0.0538","0.0076","0.0076","0.0076","0.0646","0.0646","0.0646","0.0481","0.0481","0.0481","0.0998","0.0998","0.0998","0.0214","0.0214","0.0214","0.0663","0.0663","0.0663","0.0074","0.0074","0.0074","0.05","0.05","0.05","0.0068","0.0068","0.0068","0.0401","0.0401","0.0401"
"3","0.0463","0.0463","0.0463","0.0758","0.0758","0.0758","0.0643","0.0643","0.0643","0.0562","0.0562","0.0562","0.0085","0.0085","0.0085","0.0826","0.0826","0.0826","0.0418","0.0418","0.0418","0.1303","0.1303","0.1303","0.0077","0.0077","0.0077","0.1103","0.1103","0.1103","0.0486","0.0486","0.0486","0.0442","0.0442","0.0442","0.007","0.007","0.007","0.0983","0.0983","0.0983","0.0159","0.0159","0.0159","0.0971","0.0971","0.0971","0.0126","0.0126","0.0126","0.1265","0.1265","0.1265","0.0325","0.0325","0.0325","0.1263","0.1263","0.1263","0.0301","0.0301","0.0301","0.1068","0.1068","0.1068","0.035","0.035","0.035","0.0895","0.0895","0.0895","0.0817","0.0817","0.0817","0.1258","0.1258","0.1258","0.0089","0.0089","0.0089","0.0932","0.0932","0.0932","0.0086","0.0086","0.0086","0.0996","0.0996","0.0996","0.0084","0.0084","0.0084","0.0989","0.0989","0.0989","0.0627","0.0627","0.0627","0.1102","0.1102","0.1102","0.0335","0.0335","0.0335","0.0842","0.0842","0.0842","0.0088","0.0088","0.0088","0.0893","0.0893","0.0893","0.0072","0.0072","0.0072","0.0812","0.0812","0.0812"
"5","0.0485","0.0485","0.0485","0.0898","0.0898","0.0898","0.0829","0.0829","0.0829","0.0897","0.0897","0.0897","0.0176","0.0176","0.0176","0.0943","0.0943","0.0943","0.0524","0.0524","0.0524","0.1293","0.1293","0.1293","0.0136","0.0136","0.0136","0.1265","0.1265","0.1265","0.0495","0.0495","0.0495","0.0522","0.0522","0.0522","0.0113","0.0113","0.0113","0.1049","0.1049","0.1049","0.0542","0.0542","0.0542","0.1216","0.1216","0.1216","0.0529","0.0529","0.0529","0.1397","0.1397","0.1397","0.0378","0.0378","0.0378","0.1298","0.1298","0.1298","0.0529","0.0529","0.0529","0.1216","0.1216","0.1216","0.0524","0.0524","0.0524","0.0989","0.0989","0.0989","0.1002","0.1002","0.1002","0.1111","0.1111","0.1111","0.027","0.027","0.027","0.1037","0.1037","0.1037","0.0177","0.0177","0.0177","0.1133","0.1133","0.1133","0.014","0.014","0.014","0.1165","0.1165","0.1165","0.0705","0.0705","0.0705","0.1186","0.1186","0.1186","0.0368","0.0368","0.0368","0.1042","0.1042","0.1042","0.011","0.011","0.011","0.1142","0.1142","0.1142","0.0174","0.0174","0.0174","0.0955","0.0955","0.0955"
"7","0.0671","0.0671","0.0671","0.0801","0.0801","0.0801","0.0864","0.0864","0.0864","0.0981","0.0981","0.0981","0.0391","0.0391","0.0391","0.0997","0.0997","0.0997","0.0593","0.0593","0.0593","0.1302","0.1302","0.1302","0.0274","0.0274","0.0274","0.1311","0.1311","0.1311","0.0481","0.0481","0.0481","0.0717","0.0717","0.0717","0.0215","0.0215","0.0215","0.1147","0.1147","0.1147","0.0621","0.0621","0.0621","0.1443","0.1443","0.1443","0.0734","0.0734","0.0734","0.1389","0.1389","0.1389","0.0468","0.0468","0.0468","0.1312","0.1312","0.1312","0.0556","0.0556","0.0556","0.1351","0.1351","0.1351","0.0575","0.0575","0.0575","0.0944","0.0944","0.0944","0.1126","0.1126","0.1126","0.0977","0.0977","0.0977","0.0426","0.0426","0.0426","0.1215","0.1215","0.1215","0.0393","0.0393","0.0393","0.1238","0.1238","0.1238","0.0276","0.0276","0.0276","0.1248","0.1248","0.1248","0.0689","0.0689","0.0689","0.1307","0.1307","0.1307","0.0365","0.0365","0.0365","0.1038","0.1038","0.1038","0.0189","0.0189","0.0189","0.1273","0.1273","0.1273","0.0454","0.0454","0.0454","0.0974","0.0974","0.0974"
"9","0.1036","0.1036","0.1036","0.1004","0.1004","0.1004","0.0922","0.0922","0.0922","0.0929","0.0929","0.0929","0.0648","0.0648","0.0648","0.1096","0.1096","0.1096","0.0582","0.0582","0.0582","0.1398","0.1398","0.1398","0.0424","0.0424","0.0424","0.1398","0.1398","0.1398","0.0442","0.0442","0.0442","0.1058","0.1058","0.1058","0.0362","0.0362","0.0362","0.1237","0.1237","0.1237","0.0677","0.0677","0.0677","0.1536","0.1536","0.1536","0.0755","0.0755","0.0755","0.1413","0.1413","0.1413","0.0536","0.0536","0.0536","0.1378","0.1378","0.1378","0.0659","0.0659","0.0659","0.1409","0.1409","0.1409","0.0644","0.0644","0.0644","0.0986","0.0986","0.0986","0.103","0.103","0.103","0.0924","0.0924","0.0924","0.0516","0.0516","0.0516","0.133","0.133","0.133","0.0652","0.0652","0.0652","0.1305","0.1305","0.1305","0.0425","0.0425","0.0425","0.1303","0.1303","0.1303","0.0899","0.0899","0.0899","0.1288","0.1288","0.1288","0.0424","0.0424","0.0424","0.0891","0.0891","0.0891","0.0315","0.0315","0.0315","0.1287","0.1287","0.1287","0.0788","0.0788","0.0788","0.1039","0.1039","0.1039"
"11","0.1055","0.1055","0.1055","0.0994","0.0994","0.0994","0.0976","0.0976","0.0976","0.0956","0.0956","0.0956","0.0786","0.0786","0.0786","0.1083","0.1083","0.1083","0.0607","0.0607","0.0607","0.1469","0.1469","0.1469","0.0599","0.0599","0.0599","0.1477","0.1477","0.1477","0.0449","0.0449","0.0449","0.1228","0.1228","0.1228","0.0513","0.0513","0.0513","0.1315","0.1315","0.1315","0.0738","0.0738","0.0738","0.1504","0.1504","0.1504","0.0798","0.0798","0.0798","0.1394","0.1394","0.1394","0.0554","0.0554","0.0554","0.1357","0.1357","0.1357","0.0747","0.0747","0.0747","0.1325","0.1325","0.1325","0.071","0.071","0.071","0.1085","0.1085","0.1085","0.0951","0.0951","0.0951","0.0936","0.0936","0.0936","0.0537","0.0537","0.0537","0.1405","0.1405","0.1405","0.0806","0.0806","0.0806","0.1336","0.1336","0.1336","0.0615","0.0615","0.0615","0.1354","0.1354","0.1354","0.098","0.098","0.098","0.1242","0.1242","0.1242","0.048","0.048","0.048","0.0944","0.0944","0.0944","0.0469","0.0469","0.0469","0.1383","0.1383","0.1383","0.0933","0.0933","0.0933","0.1129","0.1129","0.1129"
"13","0.0988","0.0988","0.0988","0.1041","0.1041","0.1041","0.0952","0.0952","0.0952","0.0982","0.0982","0.0982","0.0811","0.0811","0.0811","0.1082","0.1082","0.1082","0.0629","0.0629","0.0629","0.1503","0.1503","0.1503","0.0751","0.0751","0.0751","0.1398","0.1398","0.1398","0.0431","0.0431","0.0431","0.1192","0.1192","0.1192","0.0643","0.0643","0.0643","0.144","0.144","0.144","0.0778","0.0778","0.0778","0.1542","0.1542","0.1542","0.0807","0.0807","0.0807","0.1416","0.1416","0.1416","0.059","0.059","0.059","0.1392","0.1392","0.1392","0.0821","0.0821","0.0821","0.1392","0.1392","0.1392","0.0669","0.0669","0.0669","0.1095","0.1095","0.1095","0.0872","0.0872","0.0872","","","","0.0581","0.0581","0.0581","0.1442","0.1442","0.1442","0.0835","0.0835","0.0835","0.132","0.132","0.132","0.0743","0.0743","0.0743","0.1386","0.1386","0.1386","0.0999","0.0999","0.0999","0.1307","0.1307","0.1307","0.0494","0.0494","0.0494","0.0809","0.0809","0.0809","0.0592","0.0592","0.0592","0.14","0.14","0.14","0.1005","0.1005","0.1005","0.1197","0.1197","0.1197"
"15","0.0936","0.0936","0.0936","0.1008","0.1008","0.1008","0.0894","0.0894","0.0894","0.0899","0.0899","0.0899","0.0869","0.0869","0.0869","0.1042","0.1042","0.1042","0.0608","0.0608","0.0608","0.1477","0.1477","0.1477","0.0854","0.0854","0.0854","0.1452","0.1452","0.1452","","","","0.1259","0.1259","0.1259","0.0711","0.0711","0.0711","0.1382","0.1382","0.1382","0.0838","0.0838","0.0838","0.1524","0.1524","0.1524","0.0783","0.0783","0.0783","0.1423","0.1423","0.1423","0.0611","0.0611","0.0611","0.1432","0.1432","0.1432","0.0833","0.0833","0.0833","0.1429","0.1429","0.1429","0.069","0.069","0.069","0.1258","0.1258","0.1258","0.0839","0.0839","0.0839","","","","0.0574","0.0574","0.0574","0.1468","0.1468","0.1468","0.0866","0.0866","0.0866","0.136","0.136","0.136","0.0816","0.0816","0.0816","0.1387","0.1387","0.1387","0.0976","0.0976","0.0976","0.1275","0.1275","0.1275","0.0574","0.0574","0.0574","0.102","0.102","0.102","0.0719","0.0719","0.0719","0.1376","0.1376","0.1376","0.1026","0.1026","0.1026","0.1185","0.1185","0.1185"
"17","0.0858","0.0858","0.0858","0.1141","0.1141","0.1141","0.0948","0.0948","0.0948","0.1034","0.1034","0.1034","0.0871","0.0871","0.0871","0.1037","0.1037","0.1037","0.0621","0.0621","0.0621","0.152","0.152","0.152","0.087","0.087","0.087","0.1439","0.1439","0.1439","","","","0.1367","0.1367","0.1367","0.0748","0.0748","0.0748","0.1336","0.1336","0.1336","0.0795","0.0795","0.0795","0.1537","0.1537","0.1537","0.0761","0.0761","0.0761","0.1401","0.1401","0.1401","0.0606","0.0606","0.0606","0.1363","0.1363","0.1363","0.0786","0.0786","0.0786","0.1401","0.1401","0.1401","0.0759","0.0759","0.0759","0.1112","0.1112","0.1112","","","","","","","0.0625","0.0625","0.0625","0.1448","0.1448","0.1448","0.0883","0.0883","0.0883","0.1325","0.1325","0.1325","0.0892","0.0892","0.0892","0.1426","0.1426","0.1426","0.0989","0.0989","0.0989","0.1333","0.1333","0.1333","0.0586","0.0586","0.0586","","","","0.081","0.081","0.081","0.1448","0.1448","0.1448","0.0992","0.0992","0.0992","0.1239","0.1239","0.1239"
"19","0.0798","0.0798","0.0798","0.1093","0.1093","0.1093","0.0945","0.0945","0.0945","0.0947","0.0947","0.0947","0.0883","0.0883","0.0883","","","","0.0632","0.0632","0.0632","0.1501","0.1501","0.1501","0.0897","0.0897","0.0897","0.146","0.146","0.146","","","","0.1376","0.1376","0.1376","0.0773","0.0773","0.0773","0.1373","0.1373","0.1373","0.0823","0.0823","0.0823","0.1546","0.1546","0.1546","0.0794","0.0794","0.0794","0.142","0.142","0.142","0.0642","0.0642","0.0642","0.1318","0.1318","0.1318","0.083","0.083","0.083","","","","0.0772","0.0772","0.0772","0.1219","0.1219","0.1219","","","","","","","0.0658","0.0658","0.0658","0.1507","0.1507","0.1507","0.0898","0.0898","0.0898","0.1381","0.1381","0.1381","0.0868","0.0868","0.0868","0.143","0.143","0.143","0.0915","0.0915","0.0915","0.1252","0.1252","0.1252","0.0572","0.0572","0.0572","","","","0.0808","0.0808","0.0808","0.1484","0.1484","0.1484","0.0974","0.0974","0.0974","0.1214","0.1214","0.1214"