"Step","experiment_AmpBPR2_1.5302548366951503_0.0 - precision","experiment_AmpBPR2_1.5302548366951503_0.0 - precision__MIN","experiment_AmpBPR2_1.5302548366951503_0.0 - precision__MAX","experiment_AmpBPR1_1.5302548366951503_0.0 - precision","experiment_AmpBPR1_1.5302548366951503_0.0 - precision__MIN","experiment_AmpBPR1_1.5302548366951503_0.0 - precision__MAX","experiment_OriginalBPR_1.5302548366951503_0.0 - precision","experiment_OriginalBPR_1.5302548366951503_0.0 - precision__MIN","experiment_OriginalBPR_1.5302548366951503_0.0 - precision__MAX","experiment_AmpBPR2_1.7672886054282924_0.0 - precision","experiment_AmpBPR2_1.7672886054282924_0.0 - precision__MIN","experiment_AmpBPR2_1.7672886054282924_0.0 - precision__MAX","experiment_AmpBPR1_1.7672886054282924_0.0 - precision","experiment_AmpBPR1_1.7672886054282924_0.0 - precision__MIN","experiment_AmpBPR1_1.7672886054282924_0.0 - precision__MAX","experiment_OriginalBPR_1.7672886054282924_0.0 - precision","experiment_OriginalBPR_1.7672886054282924_0.0 - precision__MIN","experiment_OriginalBPR_1.7672886054282924_0.0 - precision__MAX","experiment_AmpBPR2_1.5606823473502276_0.0 - precision","experiment_AmpBPR2_1.5606823473502276_0.0 - precision__MIN","experiment_AmpBPR2_1.5606823473502276_0.0 - precision__MAX","experiment_AmpBPR1_1.5606823473502276_0.0 - precision","experiment_AmpBPR1_1.5606823473502276_0.0 - precision__MIN","experiment_AmpBPR1_1.5606823473502276_0.0 - precision__MAX","experiment_OriginalBPR_1.5606823473502276_0.0 - precision","experiment_OriginalBPR_1.5606823473502276_0.0 - precision__MIN","experiment_OriginalBPR_1.5606823473502276_0.0 - precision__MAX","experiment_AmpBPR2_1.7912694364187152_0.0 - precision","experiment_AmpBPR2_1.7912694364187152_0.0 - precision__MIN","experiment_AmpBPR2_1.7912694364187152_0.0 - precision__MAX","experiment_AmpBPR1_1.7912694364187152_0.0 - precision","experiment_AmpBPR1_1.7912694364187152_0.0 - precision__MIN","experiment_AmpBPR1_1.7912694364187152_0.0 - precision__MAX","experiment_OriginalBPR_1.7912694364187152_0.0 - precision","experiment_OriginalBPR_1.7912694364187152_0.0 - precision__MIN","experiment_OriginalBPR_1.7912694364187152_0.0 - precision__MAX","experiment_AmpBPR2_1.4170220047025741_0.0 - precision","experiment_AmpBPR2_1.4170220047025741_0.0 - precision__MIN","experiment_AmpBPR2_1.4170220047025741_0.0 - precision__MAX","experiment_AmpBPR1_1.4170220047025741_0.0 - precision","experiment_AmpBPR1_1.4170220047025741_0.0 - precision__MIN","experiment_AmpBPR1_1.4170220047025741_0.0 - precision__MAX","experiment_OriginalBPR_1.4170220047025741_0.0 - precision","experiment_OriginalBPR_1.4170220047025741_0.0 - precision__MIN","experiment_OriginalBPR_1.4170220047025741_0.0 - precision__MAX","experiment_AmpBPR2_1.596736463578797_0.0 - precision","experiment_AmpBPR2_1.596736463578797_0.0 - precision__MIN","experiment_AmpBPR2_1.596736463578797_0.0 - precision__MAX","experiment_AmpBPR1_1.596736463578797_0.0 - precision","experiment_AmpBPR1_1.596736463578797_0.0 - precision__MIN","experiment_AmpBPR1_1.596736463578797_0.0 - precision__MAX","experiment_OriginalBPR_1.596736463578797_0.0 - precision","experiment_OriginalBPR_1.596736463578797_0.0 - precision__MIN","experiment_OriginalBPR_1.596736463578797_0.0 - precision__MAX","experiment_AmpBPR2_1.6492323458331901_0.0 - precision","experiment_AmpBPR2_1.6492323458331901_0.0 - precision__MIN","experiment_AmpBPR2_1.6492323458331901_0.0 - precision__MAX","experiment_AmpBPR1_1.6492323458331901_0.0 - precision","experiment_AmpBPR1_1.6492323458331901_0.0 - precision__MIN","experiment_AmpBPR1_1.6492323458331901_0.0 - precision__MAX","experiment_OriginalBPR_1.6492323458331901_0.0 - precision","experiment_OriginalBPR_1.6492323458331901_0.0 - precision__MIN","experiment_OriginalBPR_1.6492323458331901_0.0 - precision__MAX","experiment_AmpBPR2_1.2157148817244199_0.0 - precision","experiment_AmpBPR2_1.2157148817244199_0.0 - precision__MIN","experiment_AmpBPR2_1.2157148817244199_0.0 - precision__MAX","experiment_AmpBPR1_1.2157148817244199_0.0 - precision","experiment_AmpBPR1_1.2157148817244199_0.0 - precision__MIN","experiment_AmpBPR1_1.2157148817244199_0.0 - precision__MAX","experiment_OriginalBPR_1.2157148817244199_0.0 - precision","experiment_OriginalBPR_1.2157148817244199_0.0 - precision__MIN","experiment_OriginalBPR_1.2157148817244199_0.0 - precision__MAX","experiment_AmpBPR2_1.620738465927356_0.0 - precision","experiment_AmpBPR2_1.620738465927356_0.0 - precision__MIN","experiment_AmpBPR2_1.620738465927356_0.0 - precision__MAX","experiment_AmpBPR1_1.620738465927356_0.0 - precision","experiment_AmpBPR1_1.620738465927356_0.0 - precision__MIN","experiment_AmpBPR1_1.620738465927356_0.0 - precision__MAX","experiment_OriginalBPR_1.620738465927356_0.0 - precision","experiment_OriginalBPR_1.620738465927356_0.0 - precision__MIN","experiment_OriginalBPR_1.620738465927356_0.0 - precision__MAX","experiment_AmpBPR2_1.5488135039273248_0.0 - precision","experiment_AmpBPR2_1.5488135039273248_0.0 - precision__MIN","experiment_AmpBPR2_1.5488135039273248_0.0 - precision__MAX","experiment_AmpBPR1_1.5488135039273248_0.0 - precision","experiment_AmpBPR1_1.5488135039273248_0.0 - precision__MIN","experiment_AmpBPR1_1.5488135039273248_0.0 - precision__MAX","experiment_OriginalBPR_1.5488135039273248_0.0 - precision","experiment_OriginalBPR_1.5488135039273248_0.0 - precision__MIN","experiment_OriginalBPR_1.5488135039273248_0.0 - precision__MAX"
"4","0.2098360655737705","0.2098360655737705","0.2098360655737705","0.19934426229508195","0.19934426229508195","0.19934426229508195","0.20524590163934428","0.20524590163934428","0.20524590163934428","0.22393442622950824","0.22393442622950824","0.22393442622950824","0.21639344262295082","0.21639344262295082","0.21639344262295082","0.2152459016393443","0.2152459016393443","0.2152459016393443","0.19327868852459018","0.19327868852459018","0.19327868852459018","0.18000000000000002","0.18000000000000002","0.18000000000000002","0.19278688524590165","0.19278688524590165","0.19278688524590165","0.21999999999999997","0.21999999999999997","0.21999999999999997","0.2019672131147541","0.2019672131147541","0.2019672131147541","0.20655737704918034","0.20655737704918034","0.20655737704918034","0.18295081967213117","0.18295081967213117","0.18295081967213117","0.19262295081967212","0.19262295081967212","0.19262295081967212","0.18049180327868855","0.18049180327868855","0.18049180327868855","0.2077049180327869","0.2077049180327869","0.2077049180327869","0.2078688524590164","0.2078688524590164","0.2078688524590164","0.21065573770491802","0.21065573770491802","0.21065573770491802","0.209672131147541","0.209672131147541","0.209672131147541","0.19819672131147542","0.19819672131147542","0.19819672131147542","0.20475409836065575","0.20475409836065575","0.20475409836065575","0.20180327868852457","0.20180327868852457","0.20180327868852457","0.20180327868852457","0.20180327868852457","0.20180327868852457","0.19934426229508198","0.19934426229508198","0.19934426229508198","0.2132786885245902","0.2132786885245902","0.2132786885245902","0.2122950819672131","0.2122950819672131","0.2122950819672131","0.20885245901639346","0.20885245901639346","0.20885245901639346","0.19081967213114756","0.19081967213114756","0.19081967213114756","0.18229508196721314","0.18229508196721314","0.18229508196721314","0.1719672131147541","0.1719672131147541","0.1719672131147541"
"9","0.23655737704918034","0.23655737704918034","0.23655737704918034","0.2173770491803279","0.2173770491803279","0.2173770491803279","0.209672131147541","0.209672131147541","0.209672131147541","0.24360655737704917","0.24360655737704917","0.24360655737704917","0.22918032786885248","0.22918032786885248","0.22918032786885248","0.2227868852459017","0.2227868852459017","0.2227868852459017","0.2134426229508197","0.2134426229508197","0.2134426229508197","0.19786885245901642","0.19786885245901642","0.19786885245901642","0.1978688524590164","0.1978688524590164","0.1978688524590164","0.24377049180327867","0.24377049180327867","0.24377049180327867","0.2249180327868852","0.2249180327868852","0.2249180327868852","0.21491803278688523","0.21491803278688523","0.21491803278688523","0.20557377049180328","0.20557377049180328","0.20557377049180328","0.20098360655737704","0.20098360655737704","0.20098360655737704","0.20114754098360657","0.20114754098360657","0.20114754098360657","0.2277049180327869","0.2277049180327869","0.2277049180327869","0.2173770491803279","0.2173770491803279","0.2173770491803279","0.2139344262295082","0.2139344262295082","0.2139344262295082","0.23114754098360657","0.23114754098360657","0.23114754098360657","0.22377049180327868","0.22377049180327868","0.22377049180327868","0.2098360655737705","0.2098360655737705","0.2098360655737705","0.20606557377049184","0.20606557377049184","0.20606557377049184","0.20868852459016393","0.20868852459016393","0.20868852459016393","0.21163934426229508","0.21163934426229508","0.21163934426229508","0.2354098360655738","0.2354098360655738","0.2354098360655738","0.22540983606557377","0.22540983606557377","0.22540983606557377","0.22098360655737706","0.22098360655737706","0.22098360655737706","0.21131147540983608","0.21131147540983608","0.21131147540983608","0.1913114754098361","0.1913114754098361","0.1913114754098361","0.1880327868852459","0.1880327868852459","0.1880327868852459"
"14","0.2526229508196722","0.2526229508196722","0.2526229508196722","0.23868852459016396","0.23868852459016396","0.23868852459016396","0.21983606557377053","0.21983606557377053","0.21983606557377053","0.2570491803278689","0.2570491803278689","0.2570491803278689","0.24852459016393447","0.24852459016393447","0.24852459016393447","0.23672131147540984","0.23672131147540984","0.23672131147540984","0.2321311475409836","0.2321311475409836","0.2321311475409836","0.21672131147540985","0.21672131147540985","0.21672131147540985","0.22114754098360656","0.22114754098360656","0.22114754098360656","0.26000000000000006","0.26000000000000006","0.26000000000000006","0.2526229508196722","0.2526229508196722","0.2526229508196722","0.23836065573770487","0.23836065573770487","0.23836065573770487","0.24000000000000002","0.24000000000000002","0.24000000000000002","0.219344262295082","0.219344262295082","0.219344262295082","0.22524590163934427","0.22524590163934427","0.22524590163934427","0.25311475409836065","0.25311475409836065","0.25311475409836065","0.24049180327868855","0.24049180327868855","0.24049180327868855","0.23262295081967213","0.23262295081967213","0.23262295081967213","0.2480327868852459","0.2480327868852459","0.2480327868852459","0.23491803278688528","0.23491803278688528","0.23491803278688528","0.22901639344262292","0.22901639344262292","0.22901639344262292","0.22540983606557377","0.22540983606557377","0.22540983606557377","0.22426229508196724","0.22426229508196724","0.22426229508196724","0.2278688524590164","0.2278688524590164","0.2278688524590164","0.25491803278688524","0.25491803278688524","0.25491803278688524","0.23590163934426225","0.23590163934426225","0.23590163934426225","0.23409836065573772","0.23409836065573772","0.23409836065573772","0.2332786885245902","0.2332786885245902","0.2332786885245902","0.2178688524590164","0.2178688524590164","0.2178688524590164","0.21786885245901644","0.21786885245901644","0.21786885245901644"
"19","0.2632786885245902","0.2632786885245902","0.2632786885245902","0.25016393442622953","0.25016393442622953","0.25016393442622953","0.24508196721311476","0.24508196721311476","0.24508196721311476","0.27016393442622955","0.27016393442622955","0.27016393442622955","0.2563934426229509","0.2563934426229509","0.2563934426229509","0.2537704918032787","0.2537704918032787","0.2537704918032787","0.24459016393442626","0.24459016393442626","0.24459016393442626","0.23983606557377052","0.23983606557377052","0.23983606557377052","0.23754098360655743","0.23754098360655743","0.23754098360655743","0.27295081967213114","0.27295081967213114","0.27295081967213114","0.24901639344262297","0.24901639344262297","0.24901639344262297","0.2532786885245902","0.2532786885245902","0.2532786885245902","0.25081967213114753","0.25081967213114753","0.25081967213114753","0.24229508196721314","0.24229508196721314","0.24229508196721314","0.23295081967213113","0.23295081967213113","0.23295081967213113","0.2678688524590164","0.2678688524590164","0.2678688524590164","0.25377049180327865","0.25377049180327865","0.25377049180327865","0.2445901639344262","0.2445901639344262","0.2445901639344262","0.25721311475409836","0.25721311475409836","0.25721311475409836","0.25114754098360653","0.25114754098360653","0.25114754098360653","0.24278688524590164","0.24278688524590164","0.24278688524590164","0.2404918032786885","0.2404918032786885","0.2404918032786885","0.23622950819672134","0.23622950819672134","0.23622950819672134","0.23704918032786884","0.23704918032786884","0.23704918032786884","0.26737704918032784","0.26737704918032784","0.26737704918032784","0.23819672131147543","0.23819672131147543","0.23819672131147543","0.24442622950819676","0.24442622950819676","0.24442622950819676","0.23836065573770499","0.23836065573770499","0.23836065573770499","0.23475409836065578","0.23475409836065578","0.23475409836065578","0.22803278688524595","0.22803278688524595","0.22803278688524595"
"24","0.25836065573770495","0.25836065573770495","0.25836065573770495","0.2480327868852459","0.2480327868852459","0.2480327868852459","0.25081967213114753","0.25081967213114753","0.25081967213114753","0.2762295081967213","0.2762295081967213","0.2762295081967213","0.26344262295081966","0.26344262295081966","0.26344262295081966","0.2618032786885246","0.2618032786885246","0.2618032786885246","0.2459016393442623","0.2459016393442623","0.2459016393442623","0.24032786885245902","0.24032786885245902","0.24032786885245902","0.24245901639344264","0.24245901639344264","0.24245901639344264","0.2736065573770492","0.2736065573770492","0.2736065573770492","0.259672131147541","0.259672131147541","0.259672131147541","0.25540983606557377","0.25540983606557377","0.25540983606557377","0.25557377049180324","0.25557377049180324","0.25557377049180324","0.24065573770491805","0.24065573770491805","0.24065573770491805","0.24721311475409838","0.24721311475409838","0.24721311475409838","0.26688524590163937","0.26688524590163937","0.26688524590163937","0.25524590163934424","0.25524590163934424","0.25524590163934424","0.25245901639344265","0.25245901639344265","0.25245901639344265","0.2604918032786885","0.2604918032786885","0.2604918032786885","0.24180327868852458","0.24180327868852458","0.24180327868852458","0.25131147540983606","0.25131147540983606","0.25131147540983606","0.24573770491803276","0.24573770491803276","0.24573770491803276","0.24393442622950823","0.24393442622950823","0.24393442622950823","0.25098360655737706","0.25098360655737706","0.25098360655737706","0.26491803278688525","0.26491803278688525","0.26491803278688525","0.24655737704918035","0.24655737704918035","0.24655737704918035","0.25213114754098365","0.25213114754098365","0.25213114754098365","0.2440983606557377","0.2440983606557377","0.2440983606557377","0.2319672131147541","0.2319672131147541","0.2319672131147541","0.23721311475409834","0.23721311475409834","0.23721311475409834"
"29","0.2572131147540983","0.2572131147540983","0.2572131147540983","0.2486885245901639","0.2486885245901639","0.2486885245901639","0.25393442622950824","0.25393442622950824","0.25393442622950824","0.2772131147540984","0.2772131147540984","0.2772131147540984","0.25442622950819677","0.25442622950819677","0.25442622950819677","0.2654098360655738","0.2654098360655738","0.2654098360655738","0.25","0.25","0.25","0.24049180327868855","0.24049180327868855","0.24049180327868855","0.23967213114754096","0.23967213114754096","0.23967213114754096","0.2709836065573771","0.2709836065573771","0.2709836065573771","0.25639344262295083","0.25639344262295083","0.25639344262295083","0.2591803278688524","0.2591803278688524","0.2591803278688524","0.25622950819672136","0.25622950819672136","0.25622950819672136","0.2444262295081967","0.2444262295081967","0.2444262295081967","0.249672131147541","0.249672131147541","0.249672131147541","0.26737704918032784","0.26737704918032784","0.26737704918032784","0.24672131147540985","0.24672131147540985","0.24672131147540985","0.25901639344262295","0.25901639344262295","0.25901639344262295","0.25868852459016395","0.25868852459016395","0.25868852459016395","0.24311475409836064","0.24311475409836064","0.24311475409836064","0.24786885245901638","0.24786885245901638","0.24786885245901638","0.24655737704918035","0.24655737704918035","0.24655737704918035","0.2459016393442623","0.2459016393442623","0.2459016393442623","0.2572131147540983","0.2572131147540983","0.2572131147540983","0.26327868852459013","0.26327868852459013","0.26327868852459013","0.2526229508196722","0.2526229508196722","0.2526229508196722","0.25524590163934424","0.25524590163934424","0.25524590163934424","0.24409836065573767","0.24409836065573767","0.24409836065573767","0.23688524590163934","0.23688524590163934","0.23688524590163934","0.24000000000000002","0.24000000000000002","0.24000000000000002"
"34","0.2577049180327869","0.2577049180327869","0.2577049180327869","0.24639344262295085","0.24639344262295085","0.24639344262295085","0.25868852459016395","0.25868852459016395","0.25868852459016395","0.27377049180327867","0.27377049180327867","0.27377049180327867","0.2611475409836066","0.2611475409836066","0.2611475409836066","0.2703278688524591","0.2703278688524591","0.2703278688524591","0.2526229508196722","0.2526229508196722","0.2526229508196722","0.24688524590163932","0.24688524590163932","0.24688524590163932","0.24639344262295085","0.24639344262295085","0.24639344262295085","0.2716393442622951","0.2716393442622951","0.2716393442622951","0.25098360655737706","0.25098360655737706","0.25098360655737706","0.25803278688524595","0.25803278688524595","0.25803278688524595","0.25573770491803277","0.25573770491803277","0.25573770491803277","0.24508196721311476","0.24508196721311476","0.24508196721311476","0.2527868852459016","0.2527868852459016","0.2527868852459016","0.2709836065573771","0.2709836065573771","0.2709836065573771","0.25622950819672136","0.25622950819672136","0.25622950819672136","0.2577049180327869","0.2577049180327869","0.2577049180327869","0.260327868852459","0.260327868852459","0.260327868852459","0.2442622950819672","0.2442622950819672","0.2442622950819672","0.25065573770491806","0.25065573770491806","0.25065573770491806","0.25049180327868853","0.25049180327868853","0.25049180327868853","0.249344262295082","0.249344262295082","0.249344262295082","0.25721311475409836","0.25721311475409836","0.25721311475409836","0.270327868852459","0.270327868852459","0.270327868852459","0.25245901639344265","0.25245901639344265","0.25245901639344265","0.2642622950819672","0.2642622950819672","0.2642622950819672","0.2445901639344262","0.2445901639344262","0.2445901639344262","0.23983606557377052","0.23983606557377052","0.23983606557377052","0.23918032786885246","0.23918032786885246","0.23918032786885246"
"39","0.25524590163934424","0.25524590163934424","0.25524590163934424","0.2445901639344262","0.2445901639344262","0.2445901639344262","0.259672131147541","0.259672131147541","0.259672131147541","0.2790163934426229","0.2790163934426229","0.2790163934426229","0.2565573770491803","0.2565573770491803","0.2565573770491803","0.27","0.27","0.27","0.24901639344262297","0.24901639344262297","0.24901639344262297","0.24196721311475414","0.24196721311475414","0.24196721311475414","0.24918032786885247","0.24918032786885247","0.24918032786885247","0.27163934426229513","0.27163934426229513","0.27163934426229513","0.2455737704918033","0.2455737704918033","0.2455737704918033","0.2560655737704918","0.2560655737704918","0.2560655737704918","0.25459016393442624","0.25459016393442624","0.25459016393442624","0.2478688524590164","0.2478688524590164","0.2478688524590164","0.2526229508196721","0.2526229508196721","0.2526229508196721","0.26999999999999996","0.26999999999999996","0.26999999999999996","0.25049180327868853","0.25049180327868853","0.25049180327868853","0.2565573770491803","0.2565573770491803","0.2565573770491803","0.2595081967213114","0.2595081967213114","0.2595081967213114","0.25245901639344265","0.25245901639344265","0.25245901639344265","0.2521311475409836","0.2521311475409836","0.2521311475409836","0.26081967213114754","0.26081967213114754","0.26081967213114754","0.249016393442623","0.249016393442623","0.249016393442623","0.259672131147541","0.259672131147541","0.259672131147541","0.2680327868852459","0.2680327868852459","0.2680327868852459","0.24885245901639347","0.24885245901639347","0.24885245901639347","0.2598360655737705","0.2598360655737705","0.2598360655737705","0.2455737704918033","0.2455737704918033","0.2455737704918033","0.2363934426229508","0.2363934426229508","0.2363934426229508","0.24327868852459011","0.24327868852459011","0.24327868852459011"
"44","0.25508196721311477","0.25508196721311477","0.25508196721311477","0.2480327868852459","0.2480327868852459","0.2480327868852459","0.2578688524590164","0.2578688524590164","0.2578688524590164","0.2781967213114754","0.2781967213114754","0.2781967213114754","0.25508196721311477","0.25508196721311477","0.25508196721311477","0.27344262295081967","0.27344262295081967","0.27344262295081967","0.24885245901639347","0.24885245901639347","0.24885245901639347","0.24245901639344264","0.24245901639344264","0.24245901639344264","0.24606557377049185","0.24606557377049185","0.24606557377049185","0.27180327868852455","0.27180327868852455","0.27180327868852455","0.24672131147540988","0.24672131147540988","0.24672131147540988","0.2634426229508197","0.2634426229508197","0.2634426229508197","0.2580327868852459","0.2580327868852459","0.2580327868852459","0.2519672131147541","0.2519672131147541","0.2519672131147541","0.2526229508196721","0.2526229508196721","0.2526229508196721","0.26704918032786884","0.26704918032786884","0.26704918032786884","0.25180327868852465","0.25180327868852465","0.25180327868852465","0.2591803278688524","0.2591803278688524","0.2591803278688524","0.25508196721311477","0.25508196721311477","0.25508196721311477","0.25131147540983606","0.25131147540983606","0.25131147540983606","0.249344262295082","0.249344262295082","0.249344262295082","0.2565573770491803","0.2565573770491803","0.2565573770491803","0.249672131147541","0.249672131147541","0.249672131147541","0.2498360655737705","0.2498360655737705","0.2498360655737705","0.26590163934426225","0.26590163934426225","0.26590163934426225","0.249344262295082","0.249344262295082","0.249344262295082","0.2580327868852459","0.2580327868852459","0.2580327868852459","0.24721311475409832","0.24721311475409832","0.24721311475409832","0.24163934426229505","0.24163934426229505","0.24163934426229505","0.24393442622950823","0.24393442622950823","0.24393442622950823"
"49","0.2577049180327869","0.2577049180327869","0.2577049180327869","0.24311475409836067","0.24311475409836067","0.24311475409836067","0.25459016393442624","0.25459016393442624","0.25459016393442624","0.2790163934426229","0.2790163934426229","0.2790163934426229","0.2537704918032787","0.2537704918032787","0.2537704918032787","0.26852459016393443","0.26852459016393443","0.26852459016393443","0.24737704918032788","0.24737704918032788","0.24737704918032788","0.24393442622950823","0.24393442622950823","0.24393442622950823","0.2452459016393443","0.2452459016393443","0.2452459016393443","0.26852459016393443","0.26852459016393443","0.26852459016393443","0.24393442622950823","0.24393442622950823","0.24393442622950823","0.2555737704918033","0.2555737704918033","0.2555737704918033","0.2578688524590164","0.2578688524590164","0.2578688524590164","0.24639344262295085","0.24639344262295085","0.24639344262295085","0.25114754098360653","0.25114754098360653","0.25114754098360653","0.2636065573770492","0.2636065573770492","0.2636065573770492","0.2532786885245902","0.2532786885245902","0.2532786885245902","0.2544262295081967","0.2544262295081967","0.2544262295081967","0.25442622950819677","0.25442622950819677","0.25442622950819677","0.2457377049180328","0.2457377049180328","0.2457377049180328","0.24704918032786882","0.24704918032786882","0.24704918032786882","0.25475409836065577","0.25475409836065577","0.25475409836065577","0.24475409836065576","0.24475409836065576","0.24475409836065576","0.2532786885245902","0.2532786885245902","0.2532786885245902","0.2662295081967213","0.2662295081967213","0.2662295081967213","0.24885245901639347","0.24885245901639347","0.24885245901639347","0.25967213114754095","0.25967213114754095","0.25967213114754095","0.24491803278688526","0.24491803278688526","0.24491803278688526","0.23557377049180325","0.23557377049180325","0.23557377049180325","0.24278688524590167","0.24278688524590167","0.24278688524590167"