"Step","experiment_AmpBPR2_1.5302548366951503_0.0 - recall","experiment_AmpBPR2_1.5302548366951503_0.0 - recall__MIN","experiment_AmpBPR2_1.5302548366951503_0.0 - recall__MAX","experiment_AmpBPR1_1.5302548366951503_0.0 - recall","experiment_AmpBPR1_1.5302548366951503_0.0 - recall__MIN","experiment_AmpBPR1_1.5302548366951503_0.0 - recall__MAX","experiment_OriginalBPR_1.5302548366951503_0.0 - recall","experiment_OriginalBPR_1.5302548366951503_0.0 - recall__MIN","experiment_OriginalBPR_1.5302548366951503_0.0 - recall__MAX","experiment_AmpBPR2_1.7672886054282924_0.0 - recall","experiment_AmpBPR2_1.7672886054282924_0.0 - recall__MIN","experiment_AmpBPR2_1.7672886054282924_0.0 - recall__MAX","experiment_AmpBPR1_1.7672886054282924_0.0 - recall","experiment_AmpBPR1_1.7672886054282924_0.0 - recall__MIN","experiment_AmpBPR1_1.7672886054282924_0.0 - recall__MAX","experiment_OriginalBPR_1.7672886054282924_0.0 - recall","experiment_OriginalBPR_1.7672886054282924_0.0 - recall__MIN","experiment_OriginalBPR_1.7672886054282924_0.0 - recall__MAX","experiment_AmpBPR2_1.5606823473502276_0.0 - recall","experiment_AmpBPR2_1.5606823473502276_0.0 - recall__MIN","experiment_AmpBPR2_1.5606823473502276_0.0 - recall__MAX","experiment_AmpBPR1_1.5606823473502276_0.0 - recall","experiment_AmpBPR1_1.5606823473502276_0.0 - recall__MIN","experiment_AmpBPR1_1.5606823473502276_0.0 - recall__MAX","experiment_OriginalBPR_1.5606823473502276_0.0 - recall","experiment_OriginalBPR_1.5606823473502276_0.0 - recall__MIN","experiment_OriginalBPR_1.5606823473502276_0.0 - recall__MAX","experiment_AmpBPR2_1.7912694364187152_0.0 - recall","experiment_AmpBPR2_1.7912694364187152_0.0 - recall__MIN","experiment_AmpBPR2_1.7912694364187152_0.0 - recall__MAX","experiment_AmpBPR1_1.7912694364187152_0.0 - recall","experiment_AmpBPR1_1.7912694364187152_0.0 - recall__MIN","experiment_AmpBPR1_1.7912694364187152_0.0 - recall__MAX","experiment_OriginalBPR_1.7912694364187152_0.0 - recall","experiment_OriginalBPR_1.7912694364187152_0.0 - recall__MIN","experiment_OriginalBPR_1.7912694364187152_0.0 - recall__MAX","experiment_AmpBPR2_1.4170220047025741_0.0 - recall","experiment_AmpBPR2_1.4170220047025741_0.0 - recall__MIN","experiment_AmpBPR2_1.4170220047025741_0.0 - recall__MAX","experiment_AmpBPR1_1.4170220047025741_0.0 - recall","experiment_AmpBPR1_1.4170220047025741_0.0 - recall__MIN","experiment_AmpBPR1_1.4170220047025741_0.0 - recall__MAX","experiment_OriginalBPR_1.4170220047025741_0.0 - recall","experiment_OriginalBPR_1.4170220047025741_0.0 - recall__MIN","experiment_OriginalBPR_1.4170220047025741_0.0 - recall__MAX","experiment_AmpBPR2_1.596736463578797_0.0 - recall","experiment_AmpBPR2_1.596736463578797_0.0 - recall__MIN","experiment_AmpBPR2_1.596736463578797_0.0 - recall__MAX","experiment_AmpBPR1_1.596736463578797_0.0 - recall","experiment_AmpBPR1_1.596736463578797_0.0 - recall__MIN","experiment_AmpBPR1_1.596736463578797_0.0 - recall__MAX","experiment_OriginalBPR_1.596736463578797_0.0 - recall","experiment_OriginalBPR_1.596736463578797_0.0 - recall__MIN","experiment_OriginalBPR_1.596736463578797_0.0 - recall__MAX","experiment_AmpBPR2_1.6492323458331901_0.0 - recall","experiment_AmpBPR2_1.6492323458331901_0.0 - recall__MIN","experiment_AmpBPR2_1.6492323458331901_0.0 - recall__MAX","experiment_AmpBPR1_1.6492323458331901_0.0 - recall","experiment_AmpBPR1_1.6492323458331901_0.0 - recall__MIN","experiment_AmpBPR1_1.6492323458331901_0.0 - recall__MAX","experiment_OriginalBPR_1.6492323458331901_0.0 - recall","experiment_OriginalBPR_1.6492323458331901_0.0 - recall__MIN","experiment_OriginalBPR_1.6492323458331901_0.0 - recall__MAX","experiment_AmpBPR2_1.2157148817244199_0.0 - recall","experiment_AmpBPR2_1.2157148817244199_0.0 - recall__MIN","experiment_AmpBPR2_1.2157148817244199_0.0 - recall__MAX","experiment_AmpBPR1_1.2157148817244199_0.0 - recall","experiment_AmpBPR1_1.2157148817244199_0.0 - recall__MIN","experiment_AmpBPR1_1.2157148817244199_0.0 - recall__MAX","experiment_OriginalBPR_1.2157148817244199_0.0 - recall","experiment_OriginalBPR_1.2157148817244199_0.0 - recall__MIN","experiment_OriginalBPR_1.2157148817244199_0.0 - recall__MAX","experiment_AmpBPR2_1.620738465927356_0.0 - recall","experiment_AmpBPR2_1.620738465927356_0.0 - recall__MIN","experiment_AmpBPR2_1.620738465927356_0.0 - recall__MAX","experiment_AmpBPR1_1.620738465927356_0.0 - recall","experiment_AmpBPR1_1.620738465927356_0.0 - recall__MIN","experiment_AmpBPR1_1.620738465927356_0.0 - recall__MAX","experiment_OriginalBPR_1.620738465927356_0.0 - recall","experiment_OriginalBPR_1.620738465927356_0.0 - recall__MIN","experiment_OriginalBPR_1.620738465927356_0.0 - recall__MAX","experiment_AmpBPR2_1.5488135039273248_0.0 - recall","experiment_AmpBPR2_1.5488135039273248_0.0 - recall__MIN","experiment_AmpBPR2_1.5488135039273248_0.0 - recall__MAX","experiment_AmpBPR1_1.5488135039273248_0.0 - recall","experiment_AmpBPR1_1.5488135039273248_0.0 - recall__MIN","experiment_AmpBPR1_1.5488135039273248_0.0 - recall__MAX","experiment_OriginalBPR_1.5488135039273248_0.0 - recall","experiment_OriginalBPR_1.5488135039273248_0.0 - recall__MIN","experiment_OriginalBPR_1.5488135039273248_0.0 - recall__MAX"
"4","0.11737403915343161","0.11737403915343161","0.11737403915343161","0.1082702607266104","0.1082702607266104","0.1082702607266104","0.10965508468651337","0.10965508468651337","0.10965508468651337","0.1271297200783289","0.1271297200783289","0.1271297200783289","0.119421936450863","0.119421936450863","0.119421936450863","0.11868443557149083","0.11868443557149083","0.11868443557149083","0.09748072348143402","0.09748072348143402","0.09748072348143402","0.08946372337168469","0.08946372337168469","0.08946372337168469","0.1008436410398248","0.1008436410398248","0.1008436410398248","0.12200743850279472","0.12200743850279472","0.12200743850279472","0.10749310973589775","0.10749310973589775","0.10749310973589775","0.10805559911319773","0.10805559911319773","0.10805559911319773","0.10161662959175713","0.10161662959175713","0.10161662959175713","0.10718958939233389","0.10718958939233389","0.10718958939233389","0.10221909512277669","0.10221909512277669","0.10221909512277669","0.11293396218700204","0.11293396218700204","0.11293396218700204","0.11550675216454524","0.11550675216454524","0.11550675216454524","0.1129936067122456","0.1129936067122456","0.1129936067122456","0.11213820720515334","0.11213820720515334","0.11213820720515334","0.10571863517119007","0.10571863517119007","0.10571863517119007","0.10845656858992317","0.10845656858992317","0.10845656858992317","0.10388524900742324","0.10388524900742324","0.10388524900742324","0.10493418834447739","0.10493418834447739","0.10493418834447739","0.10314985806464193","0.10314985806464193","0.10314985806464193","0.1140546008325441","0.1140546008325441","0.1140546008325441","0.11402087828938219","0.11402087828938219","0.11402087828938219","0.10751462978454361","0.10751462978454361","0.10751462978454361","0.10711585713352906","0.10711585713352906","0.10711585713352906","0.10016917256839622","0.10016917256839622","0.10016917256839622","0.0932114461424469","0.0932114461424469","0.0932114461424469"
"9","0.13481004395700777","0.13481004395700777","0.13481004395700777","0.11777376716740093","0.11777376716740093","0.11777376716740093","0.11491392831713304","0.11491392831713304","0.11491392831713304","0.13371244926306947","0.13371244926306947","0.13371244926306947","0.12106362209809708","0.12106362209809708","0.12106362209809708","0.12389712646978314","0.12389712646978314","0.12389712646978314","0.11351304342744875","0.11351304342744875","0.11351304342744875","0.10153521049728587","0.10153521049728587","0.10153521049728587","0.10281401969090698","0.10281401969090698","0.10281401969090698","0.13707239602636218","0.13707239602636218","0.13707239602636218","0.1240379502207895","0.1240379502207895","0.1240379502207895","0.11467261342583916","0.11467261342583916","0.11467261342583916","0.1158971266857849","0.1158971266857849","0.1158971266857849","0.11187903162893573","0.11187903162893573","0.11187903162893573","0.11840340161164699","0.11840340161164699","0.11840340161164699","0.12515969455741002","0.12515969455741002","0.12515969455741002","0.11633857876940094","0.11633857876940094","0.11633857876940094","0.11432846267482207","0.11432846267482207","0.11432846267482207","0.12523687377199463","0.12523687377199463","0.12523687377199463","0.11915636866805286","0.11915636866805286","0.11915636866805286","0.11100945806259035","0.11100945806259035","0.11100945806259035","0.10640522542728532","0.10640522542728532","0.10640522542728532","0.11367906757518684","0.11367906757518684","0.11367906757518684","0.11175404532022502","0.11175404532022502","0.11175404532022502","0.12575957360819862","0.12575957360819862","0.12575957360819862","0.11747348144046635","0.11747348144046635","0.11747348144046635","0.1154777958326651","0.1154777958326651","0.1154777958326651","0.1181324027744423","0.1181324027744423","0.1181324027744423","0.10487551971038135","0.10487551971038135","0.10487551971038135","0.09942836881296058","0.09942836881296058","0.09942836881296058"
"14","0.14636496139575791","0.14636496139575791","0.14636496139575791","0.13512773815143517","0.13512773815143517","0.13512773815143517","0.11826856746710936","0.11826856746710936","0.11826856746710936","0.14227451678936986","0.14227451678936986","0.14227451678936986","0.13638679025710174","0.13638679025710174","0.13638679025710174","0.12891347453607316","0.12891347453607316","0.12891347453607316","0.1284202110252861","0.1284202110252861","0.1284202110252861","0.11489035757522625","0.11489035757522625","0.11489035757522625","0.11771770629998224","0.11771770629998224","0.11771770629998224","0.1440531931425266","0.1440531931425266","0.1440531931425266","0.1429021643341421","0.1429021643341421","0.1429021643341421","0.12927518107393118","0.12927518107393118","0.12927518107393118","0.13947090491623673","0.13947090491623673","0.13947090491623673","0.12717208093929816","0.12717208093929816","0.12717208093929816","0.13155133929154775","0.13155133929154775","0.13155133929154775","0.1426815558475327","0.1426815558475327","0.1426815558475327","0.13039983069448907","0.13039983069448907","0.13039983069448907","0.12632664124773943","0.12632664124773943","0.12632664124773943","0.1293801307598948","0.1293801307598948","0.1293801307598948","0.12096037473979733","0.12096037473979733","0.12096037473979733","0.11845381120954097","0.11845381120954097","0.11845381120954097","0.12138516549368547","0.12138516549368547","0.12138516549368547","0.1228988834916055","0.1228988834916055","0.1228988834916055","0.12191930012642635","0.12191930012642635","0.12191930012642635","0.13991656780050687","0.13991656780050687","0.13991656780050687","0.1274902930337572","0.1274902930337572","0.1274902930337572","0.12169638067088404","0.12169638067088404","0.12169638067088404","0.1340711735886882","0.1340711735886882","0.1340711735886882","0.12240964959278913","0.12240964959278913","0.12240964959278913","0.11698918918300096","0.11698918918300096","0.11698918918300096"
"19","0.15262963914203953","0.15262963914203953","0.15262963914203953","0.14313988667887403","0.14313988667887403","0.14313988667887403","0.13312482771377665","0.13312482771377665","0.13312482771377665","0.14866508573042278","0.14866508573042278","0.14866508573042278","0.14246823493666702","0.14246823493666702","0.14246823493666702","0.14112172205527138","0.14112172205527138","0.14112172205527138","0.13340454899921622","0.13340454899921622","0.13340454899921622","0.13333645548894474","0.13333645548894474","0.13333645548894474","0.1307490551768177","0.1307490551768177","0.1307490551768177","0.15532352760424825","0.15532352760424825","0.15532352760424825","0.14407670602610348","0.14407670602610348","0.14407670602610348","0.13730171095823526","0.13730171095823526","0.13730171095823526","0.14390087727515372","0.14390087727515372","0.14390087727515372","0.1438226352579185","0.1438226352579185","0.1438226352579185","0.13663318946316177","0.13663318946316177","0.13663318946316177","0.14863208888744964","0.14863208888744964","0.14863208888744964","0.14089563870702618","0.14089563870702618","0.14089563870702618","0.13772510368265117","0.13772510368265117","0.13772510368265117","0.13463907875925016","0.13463907875925016","0.13463907875925016","0.13431795034398802","0.13431795034398802","0.13431795034398802","0.12551089461934373","0.12551089461934373","0.12551089461934373","0.1307215084920092","0.1307215084920092","0.1307215084920092","0.12972156448696515","0.12972156448696515","0.12972156448696515","0.1286444032099958","0.1286444032099958","0.1286444032099958","0.1492581442711371","0.1492581442711371","0.1492581442711371","0.131146853011377","0.131146853011377","0.131146853011377","0.13374607597011523","0.13374607597011523","0.13374607597011523","0.1341704247059866","0.1341704247059866","0.1341704247059866","0.13253366543938405","0.13253366543938405","0.13253366543938405","0.12757137448330363","0.12757137448330363","0.12757137448330363"
"24","0.150441179759985","0.150441179759985","0.150441179759985","0.1431973553835974","0.1431973553835974","0.1431973553835974","0.14288401102297968","0.14288401102297968","0.14288401102297968","0.15849736779532242","0.15849736779532242","0.15849736779532242","0.14840528396337194","0.14840528396337194","0.14840528396337194","0.1494451364170881","0.1494451364170881","0.1494451364170881","0.13523360943653337","0.13523360943653337","0.13523360943653337","0.13753326482789227","0.13753326482789227","0.13753326482789227","0.1337988252580155","0.1337988252580155","0.1337988252580155","0.15472957882403027","0.15472957882403027","0.15472957882403027","0.14728590040300013","0.14728590040300013","0.14728590040300013","0.14336239198487905","0.14336239198487905","0.14336239198487905","0.1489061748361591","0.1489061748361591","0.1489061748361591","0.1428447903506498","0.1428447903506498","0.1428447903506498","0.14409413967605048","0.14409413967605048","0.14409413967605048","0.14979813577889844","0.14979813577889844","0.14979813577889844","0.14369779179923528","0.14369779179923528","0.14369779179923528","0.14184798395825152","0.14184798395825152","0.14184798395825152","0.13760232718273946","0.13760232718273946","0.13760232718273946","0.1314124758571678","0.1314124758571678","0.1314124758571678","0.1327603232210773","0.1327603232210773","0.1327603232210773","0.13512535292786398","0.13512535292786398","0.13512535292786398","0.13326231139842323","0.13326231139842323","0.13326231139842323","0.13647467886183037","0.13647467886183037","0.13647467886183037","0.14924792223277328","0.14924792223277328","0.14924792223277328","0.1391319026989292","0.1391319026989292","0.1391319026989292","0.138904005112678","0.138904005112678","0.138904005112678","0.13991266387089923","0.13991266387089923","0.13991266387089923","0.12896580350202944","0.12896580350202944","0.12896580350202944","0.13695999174076953","0.13695999174076953","0.13695999174076953"
"29","0.15083689270781817","0.15083689270781817","0.15083689270781817","0.1429545244343663","0.1429545244343663","0.1429545244343663","0.14524704539047759","0.14524704539047759","0.14524704539047759","0.15896666446456342","0.15896666446456342","0.15896666446456342","0.14409028914049338","0.14409028914049338","0.14409028914049338","0.15172109370978562","0.15172109370978562","0.15172109370978562","0.13815223384517195","0.13815223384517195","0.13815223384517195","0.13250077974220337","0.13250077974220337","0.13250077974220337","0.13317700865711096","0.13317700865711096","0.13317700865711096","0.15401669354518568","0.15401669354518568","0.15401669354518568","0.1457655179728254","0.1457655179728254","0.1457655179728254","0.14543015274235527","0.14543015274235527","0.14543015274235527","0.14944545988656766","0.14944545988656766","0.14944545988656766","0.1453846182291864","0.1453846182291864","0.1453846182291864","0.14483574401716628","0.14483574401716628","0.14483574401716628","0.15029483205498792","0.15029483205498792","0.15029483205498792","0.14350928116224176","0.14350928116224176","0.14350928116224176","0.14569815901558628","0.14569815901558628","0.14569815901558628","0.13803755503726065","0.13803755503726065","0.13803755503726065","0.13127246841251142","0.13127246841251142","0.13127246841251142","0.1330735084863595","0.1330735084863595","0.1330735084863595","0.13340623245784494","0.13340623245784494","0.13340623245784494","0.13564256982845838","0.13564256982845838","0.13564256982845838","0.14181610919409793","0.14181610919409793","0.14181610919409793","0.14613129142362735","0.14613129142362735","0.14613129142362735","0.14269921795698676","0.14269921795698676","0.14269921795698676","0.1398237680024013","0.1398237680024013","0.1398237680024013","0.13833350654895446","0.13833350654895446","0.13833350654895446","0.13452349628411472","0.13452349628411472","0.13452349628411472","0.13754670415280412","0.13754670415280412","0.13754670415280412"
"34","0.1519595503108536","0.1519595503108536","0.1519595503108536","0.1419129786466304","0.1419129786466304","0.1419129786466304","0.14654903771353425","0.14654903771353425","0.14654903771353425","0.15823645243159234","0.15823645243159234","0.15823645243159234","0.14897467031872474","0.14897467031872474","0.14897467031872474","0.15410772094236405","0.15410772094236405","0.15410772094236405","0.13942521318527948","0.13942521318527948","0.13942521318527948","0.13764245717113788","0.13764245717113788","0.13764245717113788","0.1398360839840161","0.1398360839840161","0.1398360839840161","0.15448276563605812","0.15448276563605812","0.15448276563605812","0.1438680702147193","0.1438680702147193","0.1438680702147193","0.14584085863683152","0.14584085863683152","0.14584085863683152","0.14681968621001062","0.14681968621001062","0.14681968621001062","0.14758574389894952","0.14758574389894952","0.14758574389894952","0.1444976958269867","0.1444976958269867","0.1444976958269867","0.15486895673507156","0.15486895673507156","0.15486895673507156","0.1452965190743053","0.1452965190743053","0.1452965190743053","0.14505819583923021","0.14505819583923021","0.14505819583923021","0.1374861674562115","0.1374861674562115","0.1374861674562115","0.1324674159336128","0.1324674159336128","0.1324674159336128","0.1368470997521204","0.1368470997521204","0.1368470997521204","0.14007585102636405","0.14007585102636405","0.14007585102636405","0.13806430623107266","0.13806430623107266","0.13806430623107266","0.1417213803976896","0.1417213803976896","0.1417213803976896","0.1504322671384627","0.1504322671384627","0.1504322671384627","0.14500043247491481","0.14500043247491481","0.14500043247491481","0.14485333715649146","0.14485333715649146","0.14485333715649146","0.14393899604335586","0.14393899604335586","0.14393899604335586","0.13754275568885052","0.13754275568885052","0.13754275568885052","0.1368930236478758","0.1368930236478758","0.1368930236478758"
"39","0.15281781206090608","0.15281781206090608","0.15281781206090608","0.14319170044023893","0.14319170044023893","0.14319170044023893","0.15089374937045907","0.15089374937045907","0.15089374937045907","0.15854336755374815","0.15854336755374815","0.15854336755374815","0.1489876907621202","0.1489876907621202","0.1489876907621202","0.15351521633478693","0.15351521633478693","0.15351521633478693","0.13843504992480382","0.13843504992480382","0.13843504992480382","0.1347557316571778","0.1347557316571778","0.1347557316571778","0.13926205300729588","0.13926205300729588","0.13926205300729588","0.15516355263457335","0.15516355263457335","0.15516355263457335","0.14484719754027053","0.14484719754027053","0.14484719754027053","0.1471249428439643","0.1471249428439643","0.1471249428439643","0.1465004435644099","0.1465004435644099","0.1465004435644099","0.14509091700897878","0.14509091700897878","0.14509091700897878","0.14790978243784014","0.14790978243784014","0.14790978243784014","0.15564033927168933","0.15564033927168933","0.15564033927168933","0.1455144557322943","0.1455144557322943","0.1455144557322943","0.14523161998829143","0.14523161998829143","0.14523161998829143","0.1397300031325879","0.1397300031325879","0.1397300031325879","0.13585729597239235","0.13585729597239235","0.13585729597239235","0.13521375397673255","0.13521375397673255","0.13521375397673255","0.14483640202030643","0.14483640202030643","0.14483640202030643","0.13875998407179266","0.13875998407179266","0.13875998407179266","0.14289877072476462","0.14289877072476462","0.14289877072476462","0.1508162457553985","0.1508162457553985","0.1508162457553985","0.1421537614325896","0.1421537614325896","0.1421537614325896","0.14600113110693572","0.14600113110693572","0.14600113110693572","0.14485905538105515","0.14485905538105515","0.14485905538105515","0.13748498066529852","0.13748498066529852","0.13748498066529852","0.14044867869849428","0.14044867869849428","0.14044867869849428"
"44","0.15200572230321516","0.15200572230321516","0.15200572230321516","0.14637616311067617","0.14637616311067617","0.14637616311067617","0.14848207117787984","0.14848207117787984","0.14848207117787984","0.1621854639004969","0.1621854639004969","0.1621854639004969","0.1468550314071863","0.1468550314071863","0.1468550314071863","0.15709727433315648","0.15709727433315648","0.15709727433315648","0.13741147976339102","0.13741147976339102","0.13741147976339102","0.1330705837503197","0.1330705837503197","0.1330705837503197","0.13964650011691582","0.13964650011691582","0.13964650011691582","0.15700215364800224","0.15700215364800224","0.15700215364800224","0.14273844053786489","0.14273844053786489","0.14273844053786489","0.15245449175971443","0.15245449175971443","0.15245449175971443","0.15072379993676593","0.15072379993676593","0.15072379993676593","0.14772885811518438","0.14772885811518438","0.14772885811518438","0.15036752095940462","0.15036752095940462","0.15036752095940462","0.15826192178285242","0.15826192178285242","0.15826192178285242","0.14661844811488045","0.14661844811488045","0.14661844811488045","0.14629228395147728","0.14629228395147728","0.14629228395147728","0.13785286106163971","0.13785286106163971","0.13785286106163971","0.13556276434658934","0.13556276434658934","0.13556276434658934","0.13334850276924087","0.13334850276924087","0.13334850276924087","0.14630461604242948","0.14630461604242948","0.14630461604242948","0.1370251735176846","0.1370251735176846","0.1370251735176846","0.13900280997319694","0.13900280997319694","0.13900280997319694","0.14999941988509619","0.14999941988509619","0.14999941988509619","0.14184391067844676","0.14184391067844676","0.14184391067844676","0.14539509572187798","0.14539509572187798","0.14539509572187798","0.14541017365590034","0.14541017365590034","0.14541017365590034","0.1414394662848649","0.1414394662848649","0.1414394662848649","0.14097894117773271","0.14097894117773271","0.14097894117773271"
"49","0.1527933722722413","0.1527933722722413","0.1527933722722413","0.14398262683459437","0.14398262683459437","0.14398262683459437","0.1473079498161954","0.1473079498161954","0.1473079498161954","0.16242286191249192","0.16242286191249192","0.16242286191249192","0.1488649650666244","0.1488649650666244","0.1488649650666244","0.15248705764378523","0.15248705764378523","0.15248705764378523","0.13408639956471288","0.13408639956471288","0.13408639956471288","0.1396010833445436","0.1396010833445436","0.1396010833445436","0.1406127111030565","0.1406127111030565","0.1406127111030565","0.1554599239717168","0.1554599239717168","0.1554599239717168","0.14140474768083466","0.14140474768083466","0.14140474768083466","0.14697923412600447","0.14697923412600447","0.14697923412600447","0.15104233638942538","0.15104233638942538","0.15104233638942538","0.14493877383193027","0.14493877383193027","0.14493877383193027","0.14835605880643477","0.14835605880643477","0.14835605880643477","0.15064337827319774","0.15064337827319774","0.15064337827319774","0.14902975661211004","0.14902975661211004","0.14902975661211004","0.14458220884839973","0.14458220884839973","0.14458220884839973","0.135517310888532","0.135517310888532","0.135517310888532","0.1303710750477077","0.1303710750477077","0.1303710750477077","0.1304946064878239","0.1304946064878239","0.1304946064878239","0.14375411332083707","0.14375411332083707","0.14375411332083707","0.13682955437515232","0.13682955437515232","0.13682955437515232","0.13989585400709753","0.13989585400709753","0.13989585400709753","0.15012895791585343","0.15012895791585343","0.15012895791585343","0.14463071899452112","0.14463071899452112","0.14463071899452112","0.1467863524900701","0.1467863524900701","0.1467863524900701","0.1409714802099857","0.1409714802099857","0.1409714802099857","0.13769924587172186","0.13769924587172186","0.13769924587172186","0.14123400626424698","0.14123400626424698","0.14123400626424698"